"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"AIDS deaths","2021","Hawaii","15","46","3.8","NA"
"HIV Stigma","2021","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2021","Hawaii","15","53","4.3","NA"
"HIV diagnoses","2021","Hawaii","15","71","5.8","NA"
"Linkage to HIV care","2021","Hawaii","15","55","NA","84.6"
"Unstable Housing or Homelessness","2021","Hawaii","15","Data not available","Data not available","NA"
"HIV prevalence","2021","Idaho","16","1,311","82.8","NA"
"AIDS deaths","2021","Idaho","16","13","0.8","NA"
"AIDS prevalence","2021","Idaho","16","624","39.4","NA"
"HIV Stigma","2021","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2021","Idaho","16","22","1.4","NA"
"HIV diagnoses","2021","Idaho","16","54","3.4","NA"
"Linkage to HIV care","2021","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2021","Idaho","16","878","NA","18.3"
"Receipt of HIV medical care","2021","Idaho","16","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2021","Idaho","16","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Illinois","17","26,373","NA","76.3"
"PrEP coverage and number of persons prescribed","2021","Illinois","17","18,424","NA","33.0"
"Linkage to HIV care","2021","Illinois","17","1,022","NA","85.5"
"HIV prevalence","2021","Illinois","17","35,666","331.7","NA"
"HIV diagnoses","2021","Illinois","17","1,195","11.1","NA"
"AIDS prevalence","2021","Illinois","17","17,114","159.1","NA"
"AIDS deaths","2021","Illinois","17","455","4.2","NA"
"HIV Stigma","2021","Illinois","17","No Suppression","30.6 (26.6 - 34.7)","NA"
"HIV deaths","2021","Illinois","17","630","5.9","NA"
"Unstable Housing or Homelessness","2021","Illinois","17","No Suppression","11.2 (7.4 - 15.0)","NA"
"Receipt of HIV medical care","2021","Indiana","18","9,376","NA","79.3"
"PrEP coverage and number of persons prescribed","2021","Indiana","18","4,234","NA","19.1"
"HIV prevalence","2021","Indiana","18","12,268","214.9","NA"
"AIDS prevalence","2021","Indiana","18","5,820","102.0","NA"
"AIDS deaths","2021","Indiana","18","183","3.2","NA"
"HIV Stigma","2021","Indiana","18","No Suppression","31.4 (26.3 - 36.5)","NA"
"HIV deaths","2021","Indiana","18","255","4.5","NA"
"HIV diagnoses","2021","Indiana","18","527","9.2","NA"
"Linkage to HIV care","2021","Indiana","18","401","NA","75.9"
"Unstable Housing or Homelessness","2021","Indiana","18","No Suppression","21.9 (13.2 - 30.5)","NA"
"AIDS deaths","2021","Vermont","50","7","1.2","NA"
"AIDS prevalence","2021","Vermont","50","377","66.5","NA"
"HIV Stigma","2021","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2021","Vermont","50","12","2.1","NA"
"HIV diagnoses","2021","Vermont","50","12","2.1","NA"
"HIV prevalence","2021","Vermont","50","729","128.5","NA"
"Linkage to HIV care","2021","Vermont","50","12","NA","100.0"
"PrEP coverage and number of persons prescribed","2021","Vermont","50","480","NA","45.3"
"Receipt of HIV medical care","2021","Vermont","50","561","NA","78.8"
"Unstable Housing or Homelessness","2021","Vermont","50","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Virginia","51","16,959","NA","71.8"
"PrEP coverage and number of persons prescribed","2021","Virginia","51","6,260","NA","19.9"
"HIV prevalence","2021","Virginia","51","24,196","329.8","NA"
"AIDS prevalence","2021","Virginia","51","11,310","154.2","NA"
"AIDS deaths","2021","Virginia","51","319","4.3","NA"
"HIV Stigma","2021","Virginia","51","No Suppression","27.3 (23.7 - 31.0)","NA"
"HIV deaths","2021","Virginia","51","418","5.7","NA"
"HIV diagnoses","2021","Virginia","51","793","10.8","NA"
"Linkage to HIV care","2021","Virginia","51","633","NA","79.9"
"Unstable Housing or Homelessness","2021","Virginia","51","No Suppression","14.8 (8.2 - 21.3)","NA"
"Receipt of HIV medical care","2021","Washington","53","12,012","NA","84.9"
"PrEP coverage and number of persons prescribed","2021","Washington","53","11,391","NA","28.4"
"HIV prevalence","2021","Washington","53","14,523","221.4","NA"
"AIDS prevalence","2021","Washington","53","7,212","110.0","NA"
"AIDS deaths","2021","Washington","53","159","2.4","NA"
"HIV Stigma","2021","Washington","53","No Suppression","27.7 (23.9 - 31.4)","NA"
"HIV deaths","2021","Washington","53","227","3.5","NA"
"HIV diagnoses","2021","Washington","53","460","7.0","NA"
"Linkage to HIV care","2021","Washington","53","407","NA","88.3"
"Unstable Housing or Homelessness","2021","Washington","53","No Suppression","12.9 (7.6 - 18.2)","NA"
"Receipt of HIV medical care","2021","West Virginia","54","1,417","NA","68.9"
"HIV Stigma","2021","West Virginia","54","Data not available","Data not available","NA"
"HIV diagnoses","2021","West Virginia","54","150","9.8","NA"
"Linkage to HIV care","2021","West Virginia","54","107","NA","71.8"
"PrEP coverage and number of persons prescribed","2021","West Virginia","54","706","NA","13.4"
"Unstable Housing or Homelessness","2021","West Virginia","54","Data not available","Data not available","NA"
"HIV prevalence","2021","West Virginia^","54","2,174","141.4","NA"
"AIDS prevalence","2021","West Virginia^","54","1,045","67.9","NA"
"AIDS deaths","2021","West Virginia^","54","41","2.7","NA"
"HIV deaths","2021","West Virginia^","54","66","4.3","NA"
"Receipt of HIV medical care","2021","Wisconsin","55","5,409","NA","82.2"
"PrEP coverage and number of persons prescribed","2021","Wisconsin","55","2,818","NA","21.7"
"HIV prevalence","2021","Wisconsin","55","6,800","135.9","NA"
"AIDS prevalence","2021","Wisconsin","55","3,120","62.3","NA"
"AIDS deaths","2021","Wisconsin","55","69","1.4","NA"
"HIV Stigma","2021","Wisconsin","55","Data not available","Data not available","NA"
"HIV deaths","2021","Wisconsin","55","100","2.0","NA"
"HIV diagnoses","2021","Wisconsin","55","252","5.0","NA"
"Linkage to HIV care","2021","Wisconsin","55","226","NA","89.3"
"Unstable Housing or Homelessness","2021","Wisconsin","55","Data not available","Data not available","NA"
"AIDS deaths","2021","Wyoming","56","3","0.6","NA"
"AIDS prevalence","2021","Wyoming","56","185","37.9","NA"
"HIV Stigma","2021","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2021","Wyoming","56","3","0.6","NA"
"HIV diagnoses","2021","Wyoming","56","7","1.4","NA"
"HIV prevalence","2021","Wyoming","56","374","76.6","NA"
"Linkage to HIV care","2021","Wyoming","56","6","NA","85.7"
"PrEP coverage and number of persons prescribed","2021","Wyoming","56","135","NA","15.2"
"Receipt of HIV medical care","2021","Wyoming","56","302","NA","82.3"
"Unstable Housing or Homelessness","2021","Wyoming","56","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alabama","01","185","4.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Alabama","01","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Alabama","01","289","6.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","581","13.7","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Alabama","01","466","NA","79.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Alabama","01","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alaska","02","11","1.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alaska","02","370","61.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Alaska","02","16","2.7","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","29","4.8","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alaska","02","726","120.5","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Alaska","02","28","NA","96.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alaska","02","240","NA","13.5"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Alaska","02","611","NA","87.2"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Alaska","02","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Arizona","04","12,624","NA","74.0"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arizona","04","5,068","NA","19.7"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arizona","04","17,563","289.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arizona","04","7,988","131.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arizona","04","206","3.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Arizona","04","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Arizona","04","289","4.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arizona","04","648","10.7","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Arizona","04","561","NA","84.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Arizona","04","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Arkansas","05","3,783","NA","65.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","5,967","236.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Arkansas","05","2,672","106.0","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arkansas","05","81","3.2","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Arkansas","05","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Arkansas","05","115","4.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Arkansas","05","245","9.7","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Arkansas","05","193","NA","79.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arkansas","05","867","NA","16.9"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Arkansas","05","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","California","06","95,969","NA","73.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","California","06","42,274","NA","25.6"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","California","06","3,269","NA","83.3"
"HIV prevalence","2020 (COVID-19 Pandemic)","California","06","134,208","403.5","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","California","06","4,097","12.3","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","California","06","1,996","6.0","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","California","06","69,356","208.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","California","06","1,586","4.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","California","06","No Suppression","28.4 (26.2 - 30.5)","NA"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","California","06","No Suppression","18.3 (14.7 - 22.0)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Colorado","08","8,430","NA","65.2"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Colorado","08","4,815","NA","19.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Colorado","08","13,078","266.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Colorado","08","5,518","112.4","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Colorado","08","120","2.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Colorado","08","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Colorado","08","177","3.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Colorado","08","326","6.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Colorado","08","284","NA","87.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Colorado","08","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Connecticut","09","8,074","NA","77.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Connecticut","09","2,474","NA","25.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","Connecticut","09","10,516","340.6","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Connecticut","09","6,262","202.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Connecticut","09","167","5.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Connecticut","09","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Connecticut","09","217","7.0","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Connecticut","09","173","5.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Connecticut","09","143","NA","83.6"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Connecticut","09","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Delaware","10","2,681","NA","80.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","Delaware","10","3,417","404.0","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Delaware","10","2,034","240.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Delaware","10","57","6.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Delaware","10","No Suppression","25.2 (21.5 - 28.8)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Delaware","10","75","8.9","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Delaware","10","91","10.8","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Delaware","10","75","NA","80.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Delaware","10","489","NA","11.1"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Delaware","10","No Suppression","18.5 (12.5 - 24.5)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","District of Columbia","11","8,787","NA","64.6"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","District of Columbia","11","6,029","NA","46.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","District of Columbia","11","13,728","2398.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","District of Columbia","11","7,220","1261.6","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","District of Columbia","11","199","34.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","District of Columbia","11","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","District of Columbia","11","266","46.5","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","District of Columbia","11","196","34.2","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","District of Columbia","11","172","NA","87.3"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","District of Columbia","11","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Florida","12","85,400","NA","76.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Florida","12","34,693","NA","27.7"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Florida","12","2,863","NA","84.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Florida","12","114,705","616.8","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Florida","12","3,166","17.0","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Florida","12","2,249","12.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Florida","12","59,492","319.9","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Florida","12","1,766","9.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Florida","12","No Suppression","16.7 (12.0 - 21.4)","NA"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Florida","12","No Suppression","16.3 (10.4 - 22.2)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Georgia","13","39,747","NA","71.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Georgia","13","9,781","NA","25.1"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Georgia","13","1,605","NA","81.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Georgia","13","57,686","643.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Georgia","13","1,968","21.9","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Georgia","13","28,294","315.5","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Georgia","13","726","8.1","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Georgia","13","No Suppression","27.7 (23.6 - 31.9)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Georgia","13","923","10.3","NA"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Georgia","13","No Suppression","27.0 (20.6 - 33.3)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Hawaii","15","1,930","NA","82.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Hawaii","15","2,363","192.8","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Hawaii","15","1,321","107.8","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Hawaii","15","29","2.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Hawaii","15","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Hawaii","15","40","3.3","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Hawaii","15","53","4.3","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Hawaii","15","44","NA","86.3"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Hawaii","15","904","NA","20.7"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Hawaii","15","Data not available","Data not available","NA"
"HIV prevalence","2020 (COVID-19 Pandemic)","Idaho","16","1,272","83.0","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Idaho","16","10","0.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Idaho","16","620","40.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Idaho","16","19","1.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Idaho","16","34","2.2","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Idaho","16","664","NA","13.9"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Idaho","16","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Idaho","16","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Illinois","17","25,822","NA","74.4"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Illinois","17","15,979","NA","28.6"
"HIV prevalence","2020 (COVID-19 Pandemic)","Illinois","17","35,683","330.3","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Illinois","17","1,086","10.1","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Illinois","17","17,283","160.0","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Illinois","17","535","5.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Illinois","17","No Suppression","26.0 (21.9 - 30.2)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Illinois","17","711","6.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Illinois","17","921","NA","84.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Illinois","17","No Suppression","16.7 (11.0 - 22.3)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Indiana","18","8,668","NA","75.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Indiana","18","3,193","NA","14.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Indiana","18","11,785","207.7","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Indiana","18","5,670","100.0","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Indiana","18","164","2.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Indiana","18","No Suppression","28.5 (25.6 - 31.3)","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Indiana","18","240","4.2","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Indiana","18","430","7.6","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Indiana","18","323","NA","74.6"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Indiana","18","No Suppression","16.6 (10.9 - 22.4)","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Iowa","19","2,432","NA","85.8"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Iowa","19","1,543","NA","32.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Iowa","19","2,923","109.4","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Iowa","19","1,487","55.6","NA"
"Receipt of HIV medical care","2021","Iowa","19","2,576","NA","88.1"
"PrEP coverage and number of persons prescribed","2021","Iowa","19","1,943","NA","40.8"
"HIV prevalence","2021","Iowa","19","3,050","113.5","NA"
"AIDS prevalence","2021","Iowa","19","1,516","56.4","NA"
"AIDS deaths","2021","Iowa","19","34","1.3","NA"
"HIV Stigma","2021","Iowa","19","Data not available","Data not available","NA"
"HIV deaths","2021","Iowa","19","45","1.7","NA"
"HIV diagnoses","2021","Iowa","19","124","4.6","NA"
"Linkage to HIV care","2021","Iowa","19","106","NA","85.5"
"Unstable Housing or Homelessness","2021","Iowa","19","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Kansas","20","2,749","NA","82.3"
"PrEP coverage and number of persons prescribed","2021","Kansas","20","1,274","NA","25.2"
"HIV prevalence","2021","Kansas","20","3,484","142.3","NA"
"AIDS prevalence","2021","Kansas","20","1,705","69.6","NA"
"AIDS deaths","2021","Kansas","20","43","1.8","NA"
"HIV Stigma","2021","Kansas","20","Data not available","Data not available","NA"
"HIV deaths","2021","Kansas","20","62","2.5","NA"
"HIV diagnoses","2021","Kansas","20","153","6.3","NA"
"Linkage to HIV care","2021","Kansas","20","139","NA","90.3"
"Unstable Housing or Homelessness","2021","Kansas","20","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Kentucky","21","6,236","NA","80.4"
"PrEP coverage and number of persons prescribed","2021","Kentucky","21","2,221","NA","17.1"
"HIV prevalence","2021","Kentucky","21","8,058","212.3","NA"
"AIDS prevalence","2021","Kentucky","21","3,678","96.9","NA"
"AIDS deaths","2021","Kentucky","21","102","2.7","NA"
"HIV Stigma","2021","Kentucky","21","Data not available","Data not available","NA"
"HIV deaths","2021","Kentucky","21","158","4.2","NA"
"HIV diagnoses","2021","Kentucky","21","388","10.2","NA"
"Linkage to HIV care","2021","Kentucky","21","289","NA","74.1"
"Unstable Housing or Homelessness","2021","Kentucky","21","Data not available","Data not available","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Iowa","19","50","1.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Iowa","19","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Iowa","19","64","2.4","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Iowa","19","100","3.7","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Iowa","19","90","NA","90.0"
"Unstable Housing or Homelessness","2020 (COVID-19 Pandemic)","Iowa","19","Data not available","Data not available","NA"
"Receipt of HIV medical care","2020 (COVID-19 Pandemic)","Kansas","20","2,584","NA","80.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Kansas","20","3,300","135.3","NA"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Kansas","20","1,638","67.1","NA"
"AIDS deaths","2020 (COVID-19 Pandemic)","Kansas","20","46","1.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Kansas","20","Data not available","Data not available","NA"
"HIV deaths","2020 (COVID-19 Pandemic)","Kansas","20","63","2.6","NA"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Kansas","20","142","5.8","NA"
"Linkage to HIV care","2020 (COVID-19 Pandemic)","Kansas","20","118","NA","85.5"
